stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
1399981,,"Den Haag, Hoefkade",52.063340000000004,4.300846,0,,,0.0,
1399991,,"Den Haag, Circustheater",52.110261,4.284362000000001,0,,,1.0,
1399993,,"Den Haag, Laan van NOI",52.078982,4.342759,0,NL:S:31008729,,1.0,
1399994,,"Den Haag, Van Musschenbroekstraat",52.064749,4.330228,0,,,1.0,
1399999,,"Den Haag, Sportlaan",52.080432,4.2601059999999995,0,,,0.0,
1400008,,"Den Haag, Gravenstraat",52.078179,4.309443,0,,,1.0,
1400018,,"Den Haag, Kraayensteinlaan (perron A)",52.049021999999994,4.236593,0,,,0.0,A
1400021,,"Den Haag, Laan van 's-Gravenmade",52.048295,4.353024,0,,,1.0,
1400022,,"Den Haag, Hoge Veld",52.03132,4.286073,0,,,1.0,
1400023,,"Den Haag, Jonckbloetplein",52.05893,4.322841,0,,,1.0,
1400024,,"Den Haag, Thorbeckelaan",52.062969,4.2604,0,,,1.0,
1400044,,"Den Haag, Koningin Marialaan",52.084497999999996,4.333336,0,,,1.0,
1400067,,"Den Haag, Appelstraat",52.065068,4.251551999999999,0,,,0.0,
1400163,,"Den Haag, Fluitenbergstraat",52.051359999999995,4.280725,0,,,1.0,
1400165,,"Den Haag, Pompstationsweg",52.107203999999996,4.300758,0,,,0.0,
1400171,,"Den Haag, Vrederustlaan",52.043585,4.260917,0,,,0.0,
1400234,,"Den Haag, Melis Stokelaan",52.035072,4.254281,0,,,1.0,
1400251,,"Den Haag, Duinstraat",52.101597999999996,4.274986,0,,,1.0,
1400259,,"Den Haag, Willem Witsenplein",52.093584,4.329167,0,,,1.0,
1400264,,"Den Haag, Gentsestraat",52.110603000000005,4.290164,0,,,1.0,
1400265,,"Den Haag, Gentsestraat",52.110619,4.290952,0,,,1.0,
1400275,,"Den Haag, Nieuwe Haven",52.076326,4.318255000000001,0,,,1.0,
1400277,,"Den Haag, Station Mariahoeve",52.091103000000004,4.368874,0,,,1.0,
1400809,,"Den Haag, Centrum",52.0779,4.314424,0,,,1.0,
1400908,,"Den Haag, Centrum",52.078158,4.314082,0,,,1.0,
1400947,,"Den Haag, Haagse Poort",52.077614000000004,4.33751,0,,,1.0,
1401037,,"Den Haag, Boslaan",52.088295,4.321719,0,,,1.0,
1501955,,"Den Haag, Muurbloemweg",52.068366999999995,4.232099,0,,,1.0,
1502039,,"Den Haag, Muurbloemweg",52.068152000000005,4.232207,0,,,1.0,
1502044,,"Den Haag, Kijkduinsestraat",52.066272,4.224744,0,,,1.0,
1523357,,"Den Haag, Escamplaan",52.059252,4.263672,0,,,1.0,
1523856,,"Den Haag, Almeloplein",52.055437,4.274616,0,,,1.0,
1524353,,"Den Haag, Schalk Burgerstraat",52.065057,4.293089,0,,,1.0,
1524386,,"Den Haag, Vaillantplein",52.069525,4.299908,0,,,1.0,
1524453,,"Den Haag, Haagse Markt",52.066444,4.296293,0,,,1.0,
1524454,,"Den Haag, Vaillantplein",52.069662,4.300152,0,,,1.0,
1524522,,"Den Haag, Schalk Burgerstraat",52.064799,4.292366,0,,,1.0,
1525815,,"Den Haag, Beatrixkwartier",52.080312,4.334645,0,,,1.0,
1525816,,"Den Haag, Beatrixkwartier",52.079741,4.33514,0,,,1.0,
1525824,,"Den Haag, Grote Markt",52.075322,4.308607,0,,,1.0,
1525825,,"Den Haag, Grote Markt",52.075471,4.309231,0,,,1.0,
1525826,,"Den Haag, Spui",52.077195,4.3139449999999995,0,,,1.0,
1525827,,"Den Haag, Spui",52.077334,4.314394,0,,,1.0,
1525849,,"Den Haag, Laan van NOI",52.078715,4.342065,0,NL:S:31008729,,1.0,
1525863,,"Den Haag, Centraal Station (perron A)",52.08105,4.323773,0,NL:S:32002605,,1.0,A
1525864,,"Den Haag, Centraal Station (perron D)",52.081185,4.324704,0,NL:S:32002605,,1.0,D
1528225,,"Den Haag, Zwarte Pad",52.116628000000006,4.2884970000000004,0,,,1.0,
1528909,,"Den Haag, Houtrustweg",52.085167999999996,4.273219999999999,0,,,1.0,
1528910,,"Den Haag, Haga Ziekenhuis",52.082351,4.2652660000000004,0,,,1.0,
1529750,,"Den Haag, Madurodam",52.097408,4.2999160000000005,0,,,1.0,
1529751,,"Den Haag, Kerkhoflaan",52.094687,4.301164,0,,,0.0,
1529915,,"Den Haag, Bankaplein",52.093317,4.3027,0,,,1.0,
1531669,,"Den Haag, Vrederustlaan",52.042925,4.259592,0,,,1.0,
1531814,,"Den Haag, Hertenrade",52.045348,4.263831,0,,,1.0,
1531842,,"Den Haag, Randveen",52.038271,4.251401,0,,,1.0,
1531843,,"Den Haag, Erasmusweg",52.031746000000005,4.257104,0,,,1.0,
1531893,,"Den Haag, Nieuwe Haven",52.077418,4.320723,0,,,0.0,
1531902,,"Den Haag, Melis Stokelaan",52.034979,4.2539620000000005,0,,,1.0,
1534351,,"Den Haag, Spaarwaterstraat",52.087303999999996,4.339529,0,,,1.0,
1534365,,"Den Haag, Scheveningseweg",52.09897,4.2813419999999995,0,,,1.0,
1534370,,"Den Haag, Saturnusstraat",52.066334000000005,4.348771,0,,,0.0,
1534379,,"Den Haag, Maanweg",52.066961,4.3525339999999995,0,,,1.0,
1534389,,"Den Haag, Haringkade",52.104608,4.286398999999999,0,,,1.0,
1534390,,"Den Haag, Haringkade",52.104094,4.286251,0,,,1.0,
1534391,,"Den Haag, Nieuwe Parklaan",52.107285,4.289077,0,,,1.0,
