stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
1100289,,"Rotterdam, Varenhof",51.962148,4.529761,0,,,1.0,
1100292,,"Rotterdam, Stamroos",51.959202000000005,4.531272,0,,,1.0,
1100293,,"Rotterdam, Sleephellingstraat",51.911851,4.490548,0,,,1.0,
1100344,,"Rotterdam, Klapwiek",51.930889,4.543880000000001,0,,,1.0,
1100355,,"Rotterdam, Blijdorpplein",51.929593,4.442125,0,,,1.0,
1100356,,"Rotterdam, Blijdorpplein",51.930137,4.442652,0,,,1.0,
1100362,,"Rotterdam, Hendrick Staetsweg",51.943931,4.542587999999999,0,,,1.0,
1100406,,"Rotterdam, Baanweg",51.935203,4.428948999999999,0,,,1.0,
1100407,,"Rotterdam, Palladiostraat",51.938863,4.551627,0,,,1.0,
1100410,,"Rotterdam, 2e Hogenbanweg",51.936532,4.4275970000000004,0,,,1.0,
1100417,,"Rotterdam, Henri Eversstraat",51.943791,4.549412,0,,,0.0,
1100426,,"Rotterdam, Zaagmolenbrug",51.932773,4.4876879999999995,0,,,0.0,
1100437,,"Rotterdam, Schuttevaerweg",51.922532000000004,4.427096,0,,,1.0,
1100446,,"Rotterdam, Henri Eversstraat",51.944082,4.549887,0,,,1.0,
1100448,,"Rotterdam, IJsselmondsehoofd",51.902094,4.552136,0,,,1.0,
1100450,,"Rotterdam, Valkenburgsingel",51.899026,4.561928,0,,,1.0,
1100456,,"Rotterdam, Ijsselmondseplein",51.898616,4.545895,0,,,0.0,
1100459,,"Rotterdam, Oosterflank Metro/Grote Beer",51.945892,4.556762,0,,,1.0,
1100479,,"Rotterdam, Koninginneweg",51.894428999999995,4.54991,0,,,0.0,
1100480,,"Rotterdam, Koninginneweg",51.894419,4.549823,0,,,1.0,
1100481,,"Rotterdam, Van Hoochstratenweg",51.899278,4.550547,0,,,1.0,
1100482,,"Rotterdam, Bramanteplein",51.936738,4.552423,0,,,1.0,
1100483,,"Rotterdam, Palladiostraat",51.938486,4.551692,0,,,1.0,
1100485,,"Rotterdam, Beelstraat",51.93448,4.553396,0,,,1.0,
1100496,,"Rotterdam, Pascalweg",51.87407,4.523903,0,,,0.0,
1100497,,"Rotterdam, Maeterlinckweg",51.871865,4.528476,0,,,1.0,
1100498,,"Rotterdam, Roel Langerakweg",51.924116999999995,4.436236,0,,,0.0,
1100501,,"Rotterdam, Bramanteplein",51.937096999999994,4.552373,0,,,1.0,
1100503,,"Rotterdam, Koldingdreef",51.944305,4.562333,0,,,1.0,
1100504,,"Rotterdam, Beelstraat",51.934768,4.55339,0,,,1.0,
1100514,,"Rotterdam, De Lugt",51.939997999999996,4.423843,0,,,1.0,
1100533,,"Rotterdam, P+R Beverwaard",51.885828000000004,4.566701999999999,0,,,1.0,
1100556,,"Rotterdam, Schinnenbaan",51.898838,4.569763,0,,,0.0,
1100561,,"Rotterdam, Valkenburgsingel",51.899065,4.562378,0,,,1.0,
1100564,,"Rotterdam, Amstelstraat",51.933040000000005,4.415064,0,,,1.0,
1100565,,"Rotterdam, Amstelstraat",51.93278,4.415128,0,,,1.0,
1100580,,"Rotterdam, Brantingweg",51.964878000000006,4.543154,0,,,1.0,
1100587,,"Rotterdam, Henegouwerplein",51.922177000000005,4.461296,0,,,1.0,
1100588,,"Rotterdam, Noorderbrug",51.930434000000005,4.486295,0,,,1.0,
1100590,,"Rotterdam, Burgemeester Meineszplein",51.919913,4.448914,0,,,1.0,
1100592,,"Rotterdam, Oostdijk",51.901358,4.55616,0,,,1.0,
1100630,,"Rotterdam, Ringvaartplas",51.927811,4.544636,0,,,1.0,
1100631,,"Rotterdam, Klapwiek",51.931257,4.5438730000000005,0,,,1.0,
1100632,,"Rotterdam, Ringvaartplas",51.927378000000004,4.544397,0,,,1.0,
1100633,,"Rotterdam, Alexandrium I",51.94768,4.556583,0,,,1.0,
1100667,,"Rotterdam, Spaanseweg",51.917922,4.428329,0,,,1.0,
1100669,,"Rotterdam, Franselaan",51.917359999999995,4.420142,0,,,0.0,
1100672,,"Rotterdam, Van Noortwijckstraat",51.934616999999996,4.425398,0,,,1.0,
1100673,,"Rotterdam, Allard Piersonstraat",51.919801,4.4428540000000005,0,,,1.0,
1100676,,"Rotterdam, Ruggeweg",51.936352,4.435323,0,,,1.0,
1100713,,"Rotterdam, Schielaan",51.943273,4.419919,0,,,1.0,
1100714,,"Rotterdam, De Lugt",51.93995,4.422463,0,,,0.0,
1100717,,"Rotterdam, Hofwijk",51.957190999999995,4.398668,0,,,1.0,
1100718,,"Rotterdam, De Tempel",51.952723999999996,4.4062589999999995,0,,,0.0,
1100722,,"Rotterdam, Schiehoven",51.953656,4.464691,0,,,1.0,
1100723,,"Rotterdam, Wilgenplaslaan",51.956596999999995,4.467206,0,,,0.0,
1100724,,"Rotterdam, Kastanjeplein",51.958535,4.4679519999999995,0,,,1.0,
1100725,,"Rotterdam, Peppelweg",51.960522,4.470312,0,,,1.0,
1100726,,"Rotterdam, Adrianalaan",51.962438,4.472819,0,,,1.0,
1100727,,"Rotterdam, Abeelweg",51.961121,4.480354,0,,,1.0,
1100729,,"Rotterdam, Alexandrium II",51.95069,4.55516,0,,,0.0,
1100736,,"Rotterdam, Barbarakruid",51.961043,4.556103,0,,,1.0,
1100752,,"Rotterdam, Franselaan",51.917184000000006,4.4216,0,,,1.0,
1100753,,"Rotterdam, Tjalklaan",51.916953,4.424119,0,,,1.0,
1100754,,"Rotterdam, Spaanseweg",51.918059,4.428573,0,,,1.0,
1100756,,"Rotterdam, Burgemeester Meineszplein",51.919779,4.446838,0,,,1.0,
1100757,,"Rotterdam, Beukelsdijk",51.921296000000005,4.455616,0,,,1.0,
1100758,,"Rotterdam, Wilgenplaslaan",51.956012,4.467131,0,,,1.0,
1100759,,"Rotterdam, Schiehoven",51.953241999999996,4.464627,0,,,1.0,
1100760,,"Rotterdam, Abeelweg",51.961415,4.47997,0,,,0.0,
1100761,,"Rotterdam, Minervalaan",51.961584,4.490355,0,,,1.0,
1100762,,"Rotterdam, Achillesstraat",51.962306,4.487154,0,,,1.0,
1100763,,"Rotterdam, Kastanjeplein",51.958399,4.46778,0,,,1.0,
